condition,layer,n_prompts,n_unlocked,breadth,quality,quality_unlocked,n_malformed,malformed_rate,n_degenerate,degenerate_rate,rank,primary
base,,72,12,0.166667,0.140625,0.843750,0,0.000000,0,0.000000,,0
layer_00,0,72,11,0.152778,0.130208,0.852273,0,0.000000,0,0.000000,32,0
layer_01,1,72,11,0.152778,0.130208,0.852273,0,0.000000,0,0.000000,33,0
layer_02,2,72,9,0.125000,0.104167,0.833333,0,0.000000,0,0.000000,35,0
layer_03,3,72,9,0.125000,0.102431,0.819444,0,0.000000,0,0.000000,36,0
layer_04,4,72,13,0.180556,0.147569,0.817308,0,0.000000,0,0.000000,30,0
layer_05,5,72,9,0.125000,0.107639,0.861111,0,0.000000,0,0.000000,34,0
layer_06,6,72,14,0.194444,0.156250,0.803571,0,0.000000,0,0.000000,29,0
layer_07,7,72,15,0.208333,0.166667,0.800000,0,0.000000,0,0.000000,28,0
layer_08,8,72,18,0.250000,0.227431,0.909722,0,0.000000,0,0.000000,24,0
layer_09,9,72,15,0.208333,0.173611,0.833333,0,0.000000,0,0.000000,27,0
layer_10,10,72,12,0.166667,0.147569,0.885417,0,0.000000,0,0.000000,31,0
layer_11,11,72,19,0.263889,0.229167,0.868421,0,0.000000,0,0.000000,23,0
layer_12,12,72,26,0.361111,0.256944,0.711538,0,0.000000,0,0.000000,21,0
layer_13,13,72,43,0.597222,0.486111,0.813953,0,0.000000,0,0.000000,12,0
layer_14,14,72,33,0.458333,0.388889,0.848485,0,0.000000,0,0.000000,19,0
layer_15,15,72,16,0.222222,0.180556,0.812500,0,0.000000,0,0.000000,26,0
layer_16,16,72,17,0.236111,0.182292,0.772059,0,0.000000,0,0.000000,25,0
layer_17,17,72,22,0.305556,0.253472,0.829545,0,0.000000,0,0.000000,22,0
layer_18,18,72,59,0.819444,0.755208,0.921610,0,0.000000,0,0.000000,6,0
layer_19,19,72,59,0.819444,0.776042,0.947034,0,0.000000,0,0.000000,5,0
layer_20,20,72,65,0.902778,0.840278,0.930769,1,0.013889,0,0.000000,2,0
layer_21,21,72,31,0.430556,0.371528,0.862903,0,0.000000,0,0.000000,20,0
layer_22,22,72,60,0.833333,0.770833,0.925000,0,0.000000,0,0.000000,4,0
layer_23,23,72,68,0.944444,0.880208,0.931985,1,0.013889,0,0.000000,1,1
layer_24,24,72,64,0.888889,0.836806,0.941406,0,0.000000,0,0.000000,3,0
layer_25,25,72,57,0.791667,0.753472,0.951754,0,0.000000,0,0.000000,7,0
layer_26,26,72,55,0.763889,0.677083,0.886364,0,0.000000,0,0.000000,8,0
layer_27,27,72,49,0.680556,0.605903,0.890306,0,0.000000,0,0.000000,9,0
layer_28,28,72,34,0.472222,0.402778,0.852941,0,0.000000,0,0.000000,17,0
layer_29,29,72,47,0.652778,0.586806,0.898936,0,0.000000,0,0.000000,10,0
layer_30,30,72,40,0.555556,0.501736,0.903125,0,0.000000,0,0.000000,14,0
layer_31,31,72,40,0.555556,0.512153,0.921875,0,0.000000,0,0.000000,13,0
layer_32,32,72,40,0.555556,0.493056,0.887500,0,0.000000,0,0.000000,15,0
layer_33,33,72,34,0.472222,0.395833,0.838235,0,0.000000,0,0.000000,18,0
layer_34,34,72,47,0.652778,0.572917,0.877660,0,0.000000,0,0.000000,11,0
layer_35,35,72,38,0.527778,0.461806,0.875000,0,0.000000,0,0.000000,16,0
