model,condition,layer,n_prompts,n_unlocked,breadth,quality,quality_unlocked,n_malformed,malformed_rate,n_degenerate,degenerate_rate,rank,primary
microsoft/phi-4,base,,72,1,0.013889,0.010417,0.750000,0,0.000000,0,0.000000,,0
microsoft/phi-4,layer_00,0,72,4,0.055556,0.039931,0.718750,0,0.000000,0,0.000000,21,0
microsoft/phi-4,layer_01,1,72,3,0.041667,0.031250,0.750000,0,0.000000,0,0.000000,23,0
microsoft/phi-4,layer_02,2,72,2,0.027778,0.019097,0.687500,0,0.000000,0,0.000000,29,0
microsoft/phi-4,layer_03,3,72,1,0.013889,0.012153,0.875000,0,0.000000,0,0.000000,31,0
microsoft/phi-4,layer_04,4,72,2,0.027778,0.019097,0.687500,0,0.000000,0,0.000000,30,0
microsoft/phi-4,layer_05,5,72,2,0.027778,0.024306,0.875000,0,0.000000,0,0.000000,25,0
microsoft/phi-4,layer_06,6,72,3,0.041667,0.029514,0.708333,0,0.000000,0,0.000000,24,0
microsoft/phi-4,layer_07,7,72,2,0.027778,0.024306,0.875000,0,0.000000,0,0.000000,26,0
microsoft/phi-4,layer_08,8,72,7,0.097222,0.072917,0.750000,0,0.000000,0,0.000000,20,0
microsoft/phi-4,layer_09,9,72,10,0.138889,0.114583,0.825000,0,0.000000,0,0.000000,18,0
microsoft/phi-4,layer_10,10,72,16,0.222222,0.190972,0.859375,0,0.000000,0,0.000000,14,0
microsoft/phi-4,layer_11,11,72,24,0.333333,0.291667,0.875000,0,0.000000,0,0.000000,10,0
microsoft/phi-4,layer_12,12,72,23,0.319444,0.281250,0.880435,0,0.000000,0,0.000000,12,0
microsoft/phi-4,layer_13,13,72,42,0.583333,0.522569,0.895833,0,0.000000,0,0.000000,7,0
microsoft/phi-4,layer_14,14,72,58,0.805556,0.744792,0.924569,0,0.000000,0,0.000000,2,0
microsoft/phi-4,layer_15,15,72,61,0.847222,0.809028,0.954918,1,0.013889,0,0.000000,1,1
microsoft/phi-4,layer_16,16,72,54,0.750000,0.697917,0.930556,0,0.000000,0,0.000000,3,0
microsoft/phi-4,layer_17,17,72,47,0.652778,0.592014,0.906915,0,0.000000,0,0.000000,5,0
microsoft/phi-4,layer_18,18,72,48,0.666667,0.625000,0.937500,0,0.000000,0,0.000000,4,0
microsoft/phi-4,layer_19,19,72,44,0.611111,0.552083,0.903409,0,0.000000,0,0.000000,6,0
microsoft/phi-4,layer_20,20,72,38,0.527778,0.480903,0.911184,0,0.000000,0,0.000000,9,0
microsoft/phi-4,layer_21,21,72,41,0.569444,0.482639,0.847561,0,0.000000,0,0.000000,8,0
microsoft/phi-4,layer_22,22,72,24,0.333333,0.291667,0.875000,0,0.000000,0,0.000000,11,0
microsoft/phi-4,layer_23,23,72,22,0.305556,0.244792,0.801136,0,0.000000,0,0.000000,13,0
microsoft/phi-4,layer_24,24,72,10,0.138889,0.118056,0.850000,0,0.000000,0,0.000000,16,0
microsoft/phi-4,layer_25,25,72,12,0.166667,0.130208,0.781250,0,0.000000,0,0.000000,15,0
microsoft/phi-4,layer_26,26,72,10,0.138889,0.118056,0.850000,0,0.000000,0,0.000000,17,0
microsoft/phi-4,layer_27,27,72,3,0.041667,0.032986,0.791667,0,0.000000,0,0.000000,22,0
microsoft/phi-4,layer_28,28,72,2,0.027778,0.020833,0.750000,0,0.000000,0,0.000000,27,0
microsoft/phi-4,layer_29,29,72,2,0.027778,0.020833,0.750000,0,0.000000,0,0.000000,28,0
microsoft/phi-4,layer_30,30,72,0,0.000000,0.000000,,0,0.000000,0,0.000000,34,0
microsoft/phi-4,layer_31,31,72,1,0.013889,0.010417,0.750000,0,0.000000,0,0.000000,32,0
microsoft/phi-4,layer_32,32,72,0,0.000000,0.000000,,0,0.000000,0,0.000000,35,0
microsoft/phi-4,layer_33,33,72,0,0.000000,0.000000,,0,0.000000,0,0.000000,36,0
microsoft/phi-4,layer_34,34,72,0,0.000000,0.000000,,0,0.000000,0,0.000000,37,0
microsoft/phi-4,layer_35,35,72,0,0.000000,0.000000,,0,0.000000,0,0.000000,38,0
microsoft/phi-4,layer_36,36,72,0,0.000000,0.000000,,0,0.000000,0,0.000000,39,0
microsoft/phi-4,layer_37,37,72,1,0.013889,0.010417,0.750000,0,0.000000,0,0.000000,33,0
microsoft/phi-4,layer_38,38,72,0,0.000000,0.000000,,0,0.000000,0,0.000000,40,0
microsoft/phi-4,layer_39,39,72,10,0.138889,0.112847,0.812500,0,0.000000,0,0.000000,19,0
