model,strategy,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k*(0.5),k*(0.9),k*(0.99)
qwen3-4b,base/continuation_full,0.7199680511182108,0.8543299142424753,0.9048960260075108,0.9296827861798833,0.9436018984691573,0.9521694082038399,0.957852121847562,0.9618677402018483,0.9648572762265776,0.9671777099743746,1,3,
qwen3-4b,base/continuation_partial,0.44440894568690104,0.5876912729107113,0.6619724230704558,0.7081797709835574,0.7400124712740317,0.7635292304243035,0.7818197591799457,0.796601249701676,0.808893548365007,0.8193373877035437,2,,
qwen3-4b,base/fake_citation,0.6672523961661342,0.8330418698503447,0.8988845916708705,0.9310741616303491,0.9489382519444638,0.9597721045707671,0.9667967784053256,0.9716020929979524,0.9750403260475072,0.9775972551173099,1,4,
qwen3-4b,base/none,0.04345047923322684,0.0575416176223306,0.065702595146012,0.07135843743920975,0.07563172401969026,0.07903416453179556,0.08184860878940445,0.0842457038176086,0.08633257043552892,0.08817803873887516,,,
qwen3-4b,base/persona_switch,0.7308306709265175,0.8784092819909199,0.9308082506585954,0.9547176529936001,0.9674749502962443,0.9751328730584213,0.9801709215719244,0.9837197152017279,0.9863464562915101,0.9883627016017049,1,3,
qwen3-4b,base/role_chaining,0.7394568690095846,0.8857407096014798,0.9357687349363825,0.9579375991190152,0.969527393940593,0.9763820611479836,0.9808578719868642,0.9840248743234926,0.9864110350326831,0.9882941369454589,1,3,
qwen3-4b,base/static_baseline,0.09904153354632587,0.14881452833361358,0.18264671262821588,0.2081926296666304,0.22866921697214282,0.24576092081359197,0.26044586659281166,0.2733308884081889,0.28481336268257995,0.29516702350261537,,,
qwen3-4b,base/system_simulation,0.5715654952076676,0.7483437027072473,0.8294938624516563,0.8734771527578576,0.8997675957889459,0.9166637817057209,0.9282057273893245,0.9365291599171262,0.94282519723622,0.9477846681750777,1,6,
qwen3-4b,abliterated/continuation_full,0.7714057507987221,0.8788464772154027,0.918320161425929,0.9369251921383989,0.9470477782503619,0.9532013999479058,0.9572987863381438,0.9602387200563247,0.9624802839866786,0.9642756352441908,1,3,
qwen3-4b,abliterated/continuation_partial,0.8824281150159742,0.9565831511686567,0.9757272574407266,0.9838910374978982,0.9883816440650584,0.9911932857891769,0.9930831412773619,0.994413346044915,0.9953865289696999,0.9961273160414595,1,2,6
qwen3-4b,abliterated/fake_citation,0.8763578274760382,0.9522448293257105,0.9692337873437586,0.9756304876078564,0.979003460304586,0.9812081886731487,0.9828645271796292,0.9842255915184429,0.9854084572091181,0.9864717177796437,1,2,
qwen3-4b,abliterated/none,0.8501597444089457,0.9319152513872542,0.955285578162659,0.9660840694105118,0.9722839741243732,0.9762234707234162,0.9788698866127921,0.980713700026453,0.9820355637695573,0.9830094015026606,1,2,
qwen3-4b,abliterated/persona_switch,0.8840255591054312,0.9489994955439717,0.9640743231881622,0.970212036386776,0.9736570094659689,0.9759825352707082,0.977741537173134,0.9791771254426671,0.9804145327466527,0.9815254997922482,1,2,
qwen3-4b,abliterated/role_chaining,0.8993610223642172,0.9637464267698,0.9794854548511854,0.9859424920127794,0.9893145167937697,0.9913838580665157,0.9928177660840694,0.9939063537872626,0.9947882578158347,0.9955349796643974,1,2,6
qwen3-4b,abliterated/static_baseline,0.8937699680511182,0.965528838069615,0.9812034078807242,0.9871940704985541,0.9902560444053188,0.9920913329178989,0.9933087040096009,0.99417458540892,0.9948204806103995,0.9953173538891499,1,2,5
qwen3-4b,abliterated/system_simulation,0.8119808306709266,0.9226164452665211,0.9554593352390561,0.9692018054909873,0.9762670748474268,0.9805027745081554,0.983353816556049,0.9854430323564538,0.9870658767833814,0.9883735785673491,1,2,
qwen3-4b,abl-all-rank,0.8993610223642172,0.976573482428115,0.9871625399361023,0.9910320487220446,0.9937718740015975,0.9942640352935304,0.9945207026282947,0.9946522874840256,0.9951426928635498,0.9955699247932518,1,2,4
qwen3-4b,abl-all-alpha,0.7714057507987221,0.9556789137380192,0.9798749999999999,0.9899233626198084,0.9917190345447285,0.9933207353734025,0.9944792988842851,0.9946522874840256,0.99471129757534,0.9953590706915058,1,2,5
qwen3-4b,abl-top3-rank,0.8993610223642172,0.976573482428115,0.9871625399361023,0.9906608794350092,0.9933216039931677,0.994510022744772,0.9951198068316917,0.9957248769175424,0.9962531986727636,0.9965376304908695,1,2,4
qwen3-4b,base-all-rank,0.7308306709265175,0.906741214057508,0.9601393769968052,0.9807156150159744,0.9880834434904152,0.9916069087460062,0.9918775948307708,0.9919374018076078,0.9947089539773206,0.996484116009349,1,2,6
qwen3-4b,base-all-alpha,0.7199680511182108,0.8422923322683705,0.9336569488817891,0.9345227436102238,0.9714432937300319,0.9867492067691692,0.9873505097144569,0.9919374018076078,0.9941571683852677,0.9952702735110027,1,3,8
qwen3-4b,base-top3-rank,0.7308306709265175,0.906741214057508,0.9601393769968052,0.9758524886497394,0.9849019585284043,0.9888490511987935,0.9916084597539887,0.9939199802549482,0.9950204797183437,0.9960072055595411,1,2,7
qwen3-4b,mixed-all-rank,0.8993610223642172,0.976573482428115,0.9871625399361023,0.9910320487220446,0.9937718740015975,0.9942640352935304,0.9945207026282947,0.9965926490693641,0.9966537441054938,0.9976363890842697,1,2,4
qwen3-4b,mixed-top3-rank,0.8993610223642172,0.976573482428115,0.9871625399361023,0.9906608794350092,0.9933216039931677,0.994510022744772,0.9951198068316917,0.9957248769175424,0.9962531986727636,0.9965376304908695,1,2,4
